Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
129,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0,Matches
130,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,19,9,11,6,2,11,21,52.4,10,19,4,15,10,29,12,0,Matches
131,Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,4,2,0,3,1,2,3,66.7,1,2,0,2,9,13,4,0,Matches
132,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8.0,17,11,5,5,7,8,17,47.1,9,13,1,12,2,19,6,0,Matches
133,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
134,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,53,29,14,34,5,19,47,40.4,28,55,13,42,28,81,21,0,Matches
135,Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,9.1,25,15,14,10,1,8,14,57.1,6,11,1,10,6,31,11,0,Matches
136,Rúben Dias,pt POR,DF,Manchester City,25,1997,22.2,21,13,10,10,1,11,18,61.1,7,21,13,8,18,39,56,1,Matches
137,Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,17,11,4,8,5,8,15,53.3,7,8,0,8,6,23,2,0,Matches
138,Eric Dier,eng ENG,DF,Tottenham,28,1994,31.3,30,19,16,12,2,9,19,47.4,10,41,24,17,35,65,112,2,Matches
139,Lucas Digne,fr FRA,DF,Aston Villa,29,1993,16.7,30,12,20,9,1,20,33,60.6,13,18,5,13,18,48,45,0,Matches
140,Issa Diop,fr FRA,DF,Fulham,25,1997,22.4,28,19,18,9,1,17,32,53.1,15,24,17,7,35,63,86,0,Matches
141,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,7.9,19,11,13,5,1,11,26,42.3,15,19,2,17,11,30,7,0,Matches
142,Ben Doak,sct SCO,FW,Liverpool,16,2005,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
143,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,7.4,16,10,12,3,1,8,10,80.0,2,11,6,5,8,24,14,1,Matches
144,Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,37.9,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,2,Matches
145,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17.0,31,20,9,15,7,12,37,32.4,25,26,3,23,13,44,11,0,Matches
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,77,46,40,33,4,29,52,55.8,23,47,13,34,56,133,48,0,Matches
147,Flynn Downes,eng ENG,MF,West Ham,23,1999,8.5,16,9,4,10,2,6,12,50.0,6,15,2,13,7,23,6,0,Matches
148,Kami Doyle,eng ENG,MF,Southampton,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
149,Cody Drameh,eng ENG,DF,Leeds United,20,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0,Matches
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,1.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36.0,30,19,19,9,2,18,41,43.9,23,37,27,10,34,64,81,1,Matches
153,Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,1.5,2,2,0,1,1,1,4,25.0,3,0,0,0,2,4,2,0,Matches
154,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches
155,Ederson,br BRA,GK,Manchester City,28,1993,35.0,3,1,3,0,0,1,2,50.0,1,0,0,0,1,4,10,2,Matches
156,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20.0,25,13,7,12,6,7,13,53.8,6,17,5,12,3,28,22,0,Matches
157,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,6.3,17,10,6,10,1,3,8,37.5,5,7,0,7,6,23,6,0,Matches
158,Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,4.7,3,0,0,2,1,1,2,50.0,1,4,0,4,2,5,4,0,Matches
159,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,17.9,27,18,6,12,9,9,36,25.0,27,26,1,25,15,42,8,0,Matches
160,Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,1.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
161,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,1994,24.1,46,28,22,20,4,19,43,44.2,24,40,3,37,27,73,37,0,Matches
162,Emerson,br BRA,DF,Tottenham,23,1999,19.3,54,33,38,12,4,27,40,67.5,13,17,3,14,18,72,75,0,Matches
163,Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,22.8,22,18,10,7,5,10,32,31.3,22,23,9,14,11,33,20,1,Matches
164,Pervis Estupiñán,ec ECU,DF,Brighton,24,1998,29.7,61,31,36,19,6,35,60,58.3,25,30,8,22,37,98,37,1,Matches
165,Jonny Evans,nir NIR,DF,Leicester City,34,1988,11.7,13,5,12,1,0,7,11,63.6,4,15,11,4,18,31,51,0,Matches
166,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,1998,29.3,42,24,17,18,7,18,38,47.4,20,22,0,22,13,55,10,0,Matches
